Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Bengali
Property_Des11,Attack chance to trigger lightning damage,攻擊幾率觸發閃電傷害,โจมตีโอกาสที่จะก่อให้เกิดความเสียหายจากสายฟ้า,Cơ hội tấn công để kích hoạt thiệt hại sét,Menyerang kesempatan untuk memicu kerusakan petir,Ataque de ataque para desencadear danos causados ​​pelo raio,Ataque la oportunidad de provocar daños en el rayo,Шанс атаки на урон молнии,Attaque la chance de déclencher des dégâts de foudre,"Chance angreifen, um einen Blitzschaden auszulösen",Yıldırım hasarını tetikleme şansına saldır,बिजली की क्षति को ट्रिगर करने का मौका,Atac șansa de a declanșa daune fulger,فرصة الهجوم لإحداث أضرار صاعقة,বিদ্যুতের ক্ষতি ট্রিগার করার সুযোগ আক্রমণ
Property_Detail11,Lightning damage increased by {0},閃電傷害提升{0},ความเสียหายของสายฟ้าเพิ่มขึ้นโดย {0},Thiệt hại sét tăng lên bởi {0},Kerusakan petir meningkat sebesar {0},Os danos causados ​​pelo raio aumentados por {0},El daño del rayo aumentó en {0},Повреждение молнии увеличилось на {0},Les dégâts de la foudre ont augmenté de {0},Blitzschaden erhöhte sich um {0},Yıldırım hasarı {0},बिजली की क्षति {0} से बढ़ गई,Daunele fulger au crescut cu {0},زادت أضرار البرق عن طريق {0},বিদ্যুৎ ক্ষতি {0} দ্বারা বৃদ্ধি পেয়েছে
Property_Name12,Meteorite,隕石,อุกกาบาต,Mảnh thiên thạch,Meteorit,Meteorito,Meteorito,Метеорит,Météorite,Meteorit,Göktaşı,उल्का पिंड,Meteorit,نيزك,উল্কা
Property_Des12,Attack chance to trigger meteorite damage,攻擊幾率觸發隕石傷害,โจมตีโอกาสที่จะก่อให้เกิดความเสียหายอุกกาบาต,Cơ hội tấn công để kích hoạt thiệt hại thiên thạch,Serang kesempatan untuk memicu kerusakan meteorit,Chance de ataque para desencadear danos aos meteoritos,Ataque la oportunidad de desencadenar daños por meteorito,Шанс атаки на ущерб метеориту,Attaquez la chance de déclencher des dégâts de météorite,"Chance angreifen, um Meteoritenschaden auszulösen",Meteorit hasarını tetikleme şansı,उल्कापिंड क्षति को ट्रिगर करने का मौका,Atac șansa de a declanșa daunele meteoritului,فرصة الهجوم لإحداث أضرار نيزك,উল্কা ক্ষতি ট্রিগার করার সুযোগ আক্রমণ
Property_Detail12,Meteorite damage increased by {0},隕石傷害提升{0},ความเสียหายของอุกกาบาตเพิ่มขึ้นโดย {0},Thiệt hại thiên thạch tăng lên bởi {0},Kerusakan meteorit meningkat sebesar {0},Os danos dos meteoritos aumentados por {0},El daño al meteorito aumentó en {0},Урон метеорита увеличился на {0},Les dégâts des météorites ont augmenté de {0},Meteoritenschaden erhöht sich um {0},Meteorit hasarı {0},उल्कापिंड की क्षति {0} से बढ़ गई,Daunele meteorite au crescut cu {0},زادت أضرار النيزك عن طريق {0},উল্কা ক্ষতি {0} দ্বারা বৃদ্ধি পেয়েছে
Property_Name13,Laser,雷射,เลเซอร์,Laser,Laser,Laser,Láser,Лазер,Laser,Laser,Lazer,लेज़र,Laser,الليزر,লেজার
Property_Des13,Attack probability triggers laser damage,攻擊幾率觸發雷射傷害,การโจมตีความน่าจะเป็นทำให้เกิดความเสียหายด้วยเลเซอร์,Xác suất tấn công kích hoạt thiệt hại laser,Probabilitas serangan memicu kerusakan laser,A probabilidade de ataque desencadeia danos a laser,La probabilidad de ataque desencadena el daño con láser,Вероятность атаки запускает повреждение лазера,La probabilité d'attaque déclenche les dégâts laser,Angriffswahrscheinlichkeit löst Laserschäden aus,Saldırı olasılığı lazer hasarını tetikler,हमला संभावना लेजर क्षति को ट्रिगर करता है,Probabilitatea de atac declanșează daune laser,احتمال الهجوم يؤدي إلى تلف الليزر,আক্রমণ সম্ভাবনা লেজার ক্ষতি ট্রিগার
Property_Detail13,Laser damage increased by {0},雷射傷害提升{0},ความเสียหายของเลเซอร์เพิ่มขึ้นโดย {0},Thiệt hại bằng laser tăng bởi {0},Kerusakan laser meningkat sebesar {0},Os danos a laser aumentaram em {0},El daño láser aumentó en {0},Лазерное повреждение увеличилось на {0},Les dégâts laser ont augmenté de {0},Der Laserschaden erhöhte sich um {0},Lazer hasarı {0},लेजर क्षति {0} से बढ़ गई,Daunele cu laser au crescut cu {0},زادت أضرار الليزر عن طريق {0},লেজারের ক্ষতি {0} দ্বারা বৃদ্ধি পেয়েছে
Property_Name14,Flying sword,飛劍,ดาบบิน,Thanh kiếm bay,Pedang Terbang,Espada voadora,Espada voladora,Летающий меч,Épée volante,Flugschwert,Uçan kılıç,उड़ने वाली तलवार,Sabie zburătoare,سيف الطائرة,উড়ন্ত তরোয়াল
Property_Des14,Summon Flying Sword to assist you in battle,召喚飛劍協助你戰鬥,เรียกดาบบินเพื่อช่วยเหลือคุณในการต่อสู้,Summon Flying Sword để hỗ trợ bạn trong trận chiến,Panggil Pedang Terbang untuk membantu Anda dalam pertempuran,Invocar espada voadora para ajudá -lo na batalha,Invocar la espada voladora para ayudarte en la batalla,"Призыв летающего меча, чтобы помочь вам в битве",Invoquez une épée volante pour vous aider au combat,"Beschwören Sie Flying Sword, um Sie im Kampf zu helfen",Savaşta size yardımcı olmak için uçan kılıç çağırın,लड़ाई में आपकी सहायता करने के लिए फ्लाइंग तलवार को बुलाओ,Chemați sabia zburătoare pentru a vă ajuta în luptă,استدعاء سيف الطيران لمساعدتك في المعركة,যুদ্ধে আপনাকে সহায়তা করার জন্য উড়ন্ত তরোয়ালকে তলব করুন
Property_Detail14,Flying Sword Damage increased by {0},飛劍傷害提升{0},ความเสียหายของดาบบินเพิ่มขึ้นโดย {0},Thiệt hại thanh kiếm bay tăng lên bởi {0},Kerusakan pedang terbang meningkat sebesar {0},Dano de espada voadora aumentou em {0},El daño de la espada voladora aumentó en {0},Урон летающего меча увеличился на {0},Les dégâts d'épée volants ont augmenté de {0},Der Schaden des Flugschwertes erhöhte sich um {0},Uçan kılıç hasarı {0},फ्लाइंग तलवार की क्षति {0} से बढ़ गई,Daunele de sabie zburătoare au crescut cu {0},زادت تلف السيف الطائر عن طريق {0},উড়ন্ত তরোয়াল ক্ষতি {0} দ্বারা বৃদ্ধি পেয়েছে
Property_Name15,Combat,近戰,การต่อสู้,Chiến đấu,Tempur,Combate,Combate,Боевой,Combat,Kampf,Savaşmak,लड़ाई,Luptă,قتال,যুদ্ধ
Property_Des15,Close combat attacks obtain shields,近戰攻擊獲得護盾,การโจมตีอย่างใกล้ชิดได้รับโล่,Đóng các cuộc tấn công chiến đấu có được khiên,Serangan tempur dekat mendapatkan perisai,Ataques de combate fechados obtêm escudos,Los ataques de combate cerrado obtienen escudos,Близкие боевые атаки получают щиты,Les attaques de combat rapprochées obtiennent des boucliers,Nahkampfangriffe erhalten Schilde,Yakın savaş saldırıları kalkanlar elde edin,क्लोज़ कॉम्बैट अटैक शील्ड्स प्राप्त करते हैं,Atacurile de luptă strânse obțin scuturi,الهجمات القتالية الوثيقة الحصول على الدروع,বন্ধ যুদ্ধের আক্রমণগুলি ield ালগুলি প্রাপ্ত করে
Property_Detail15,Gain shield increase by {0}%,獲取護盾提升{0}%,เพิ่มโล่เพิ่มขึ้นโดย {0}%,Tăng lá chắn tăng bằng {0}%,Gain Shield meningkat sebesar {0}%,Ganho escudo aumenta em {0}%,Ganar aumento del escudo en {0}%,Увеличение увеличения щита на {0}%,Gain Shield Augmentation de {0}%,Erhöhung der Schild erhöhen um {0}%,Kazanç artışı% {0},{0}% से ढाल में वृद्धि प्राप्त करें,Creșterea scutului de câștig cu {0}%,زيادة الدرع بنسبة {0} ٪,{0}% দ্বারা ield াল বৃদ্ধি অর্জন করুন
Tips_kill,Kill:,擊殺數:,ฆ่า:,Giết:,Membunuh:,Matar:,Matar:,Убийство:,Tuer:,Töten:,Öldürmek:,मारना:,Ucide:,قتل:,হত্যা:
Shop_className1,Firearms,槍械,อาวุธปืน,Súng,Senjata api,Armas de fogo,Armas de fuego,Огнестрельное оружие,Armes à feu,Feuerarme,Ateşli silahlar,आग्नेयास्त्रों,Arme de foc,الأسلحة النارية,আগ্নেয়াস্ত্র
Shop_className2,Prop,道具,ข้อต่อ,Chống đỡ,Menopang,Suporte,Apuntalar,Проп,Soutenir,Stütze,Pervane,प्रोप,Recuzită,دعم,প্রোপ
RankUI_time,Time,時間,เวลา,Thời gian,Waktu,Tempo,Tiempo,Время,Temps,Zeit,Zaman,समय,Timp,وقت,সময়
Tips_Waiting_CD,Reborn({0}),重生({0}),Reborn ({0}),Reborn ({0}),Reborn ({0}),Reborn ({0}),Reborn ({0}),Reborn ({0}),Reborn ({0}),Wiedergeboren ({0}),Yeniden doğmuş ({0}),पुनर्जन्म ({0}),Reborn ({0}),تولد ({0}),পুনর্জন্ম ({0})
RankUI_times,Clearance Times,通關次數,เวลากวาดล้าง,Thời gian giải phóng mặt bằng,Waktu izin,Tempos de folga,Tiempos de despeje,Время разрешения,Temps de dégagement,Freigabezeiten,Boşluk süreleri,निकासी समय,Timpuri de eliberare,أوقات التخليص,ছাড়পত্রের সময়
